"Gene","log2FC","padj","contrast","pathway_id","pathway_name"
"F37F2.3",3.33421415112988,0.000994650134288588,"argk-2: Treated vs Untreated","cel00983","Drug metabolism - other enzymes"
"F37F2.3",3.33421415112988,0.000994650134288588,"argk-2: Treated vs Untreated","cel01100","Metabolic pathways"
"Y37E3.16",1.13284911864877,3.13416630135122e-08,"argk-2: Treated vs Untreated","cel04081","Hormone signaling"
"F23C8.6",1.44345237435144,1.87640185854121e-16,"argk-2: Treated vs Untreated","cel03272","Virion - Hepatitis viruses"
"F23C8.6",1.44345237435144,1.87640185854121e-16,"argk-2: Treated vs Untreated","cel04144","Endocytosis"
"F23C8.4",1.33129593232087,3.24293336184932e-11,"argk-2: Treated vs Untreated","cel04141","Protein processing in endoplasmic reticulum"
"D1037.3",1.09218022512218,3.18431103199666e-18,"argk-2: Treated vs Untreated","cel00860","Porphyrin metabolism"
"F28H1.3",1.17829986786265,5.8066150113545e-05,"argk-2: Treated vs Untreated","cel00970","Aminoacyl-tRNA biosynthesis"
"E01A2.1",3.03918353900558,5.7422770136422e-88,"argk-2: Treated vs Untreated","cel00270","Cysteine and methionine metabolism"
"E01A2.1",3.03918353900558,5.7422770136422e-88,"argk-2: Treated vs Untreated","cel00480","Glutathione metabolism"
